GDPQ;LHEM;LPMHU;P16;FM2;FYGM3;PUNEW;CANN;GBRN;DEUN;FRAN;ITAN;JPNN;ESPN;CANRGDP;GBRRGDP;FDRRGDPS;FRARGDP;ITARGDP;JPNGNP85;ESPGDPVS
2859.5;78635.66667;139.2166646;136676.6667;593.6999919;6.676666737;38.63333257;7919.3182;2436.9354;2653.9;15947.9643;19276.5884;5096.0426;12368;268776;349948;1545.6;2010.7;521916;169644;20417
2895;78616;137.243337;137456;606.3000081;6.329999924;39.0333341;7928.3341;2437.1873;2661.938;16028.4484;19354.7589;5107.745;12357;273448;352156;1553.2;2044.8;529268;174282;20583
2873.300049;78643;137.2766673;138260.3333;622.6666463;5.353333314;39.59999975;7971.3984;2436.6881;2666.907;16054.2122;19407.0837;5095.579;12357;273120;353764;1572.4;2080.4;530420;174178;20762
2939.899902;78717.33333;137.6933339;139033.6667;642.6666463;3.840000073;39.93333435;8010.2315;2411.6112;2668.447;16096.5285;19342.0462;5130.224;12462;275556;350236;1580;2077.4;530356;174860;20982
2944.199951;78961;138.2666677;139827.3333;668.0333252;4.249999921;40.29999924;8029.1255;2413.3767;2667.456;16218.6397;19500.176;5126.9571;12462;284104;355744;1583.2;2110.7;530232;177689;21274
2962.300049;79511;138.3400014;140602.6667;687.7333374;5.01000007;40.69999949;8141.1062;2395.6898;2667.173;16292.8039;19292.3929;5114.2494;12464;292620;360296;1601.6;2146.7;534848;180633;21607
2977.300049;80228.66667;139.3466644;141401.6667;706.666687;4.230000019;41;8235.4983;2394.1455;2666.651;16337.7756;19050.0184;5116.4728;12464;295712;360696;1608;2169;540848;182430;21999
3037.300049;81213.33333;141.6533305;143005.3333;727.833313;3.436666727;41.3333346;8275.0324;2409.8135;2670.346;16396.1723;19051.9266;5119.5245;12682;294768;359324;1629.6;2196.3;547684;187554;22486
3089.699951;81875;143.1766663;143758.6667;746.6666667;3.77000006;41.59999975;8307.0056;2411.468;2674.827;16459.1714;18943.4737;5104.0344;12682;302812;369408;1646;2201.7;542472;191288;22980
3125.800049;82450.33333;144.0466665;144522.6667;771.7333374;4.219999949;41.93333308;8364.6317;2421.6666;2678.699;16549.8097;18979.5344;5158.5718;12695;303968;369984;1665.6;2224.3;548868;195027;23455
3175.5;83002;145.5900014;145215;797.1666667;4.863333384;42.36666743;8430.4701;2437.465;2685.888;16679.2023;19007.4762;5194.5131;12695;312240;378224;1696.8;2258.3;556768;199898;23940
